ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
1221,EJECart - Empresa Júnior de Engenharia Cartográfica,FEJESP,1,12002.5,63,15,1,50,1,1
6,Zenit Aerospace,Concentro,2,36000,90,50,1,50,37,19
387,FGV Jr.,RioJunior,1,0,0,0,0,0,0,0
496,Labotur Empresa Júnior de Turismo,Maranhão Júnior,1,0,0,0,0,0,0,0
459,Produtora Júnior,UNIJr-BA,3,60000,100,60,5,33,55,35
604,Faísca Design Júnior,FEJERS,2,40000,83,37,10,80,50,19
1188,L2 Júnior Consultoria,Concentro,1,7000,27,50,2,33,20,10
743,GESTOR JUNIOR ,UNIJr-BA,1,3000,80,5,5,40,80,10
1272,Inova Jr. Unifei,FEJEMG,S/N,0,0,0,0,0,0,0
495,ACE Jr.,FEJEMG,2,45838.5,80,15,2,60,75,12
1276,Tetra Jr,FEJEMG,S/N,0,0,0,0,0,0,0
174,Reação Jr.,FEJESC,1,5000,75,25,1,80,60,21
55,Soluções Consultoria,FEJEMG,4,51878,75,25,1,50,50,13
446,EJIPTA - Empresa Junior de Inovação e Pesquisa Tecnológica em Alimentos,FEJEMS,1,9500,100,12,3,50,50,6
491,Caroá Design,RN Júnior,2,20700,100,60,4,78,60,36
556,TRIEQ,FEJEMG,2,28100,75,18,4,80,40,8
557,Fator Júnior,FEJEMG,3,77000,81,23,3,90,65,15
1225,DNADM Consultoria,FEJEMG,1,9315,64,6,1,33,50,3
581,Milênio Júnior,Juniores,1,10000,45,10,2,35,5,1
2,CSTQ Jr.,Concentro,3,125000,85,50,2,60,15,15
598,Rural Consultoria Junior,RioJunior,2,23000,50,30,5,75,45,15
331,Teófilos - Assessoria e Consultoria Farmacêutica Júnior,FEJEPAR,1,2437.5,71,7,1,40,29,3
595,EngePro Consultoria Júnior,FEJEPAR,2,36000,60,40,6,60,40,16
1273,HidroLógica - Desenvolvimento em Engenharia Hídrica,FEJERS,S/N,0,0,0,0,0,0,0
689,Juniores Engenharia,FEMTEJ,1,54045.19,75,10,1,40,30,3
1226,SoluAli Jr ,Juniores,3,34000,27,18,1,70,40,8
1120,Atria Júnior,FEJESP,1,11062,65,6,1,65,1,1
256,TM Jr,UNIJr-BA,1,22000,60,25,2,33,40,10
34,Holística,Pará Júnior,1,30000,70,40,2,56,90,36
149,EJA Consultoria,PB Júnior,5,120000,80,22,3,60,60,14
608,Lignum Ambiental Jr.,RioJunior,2,15000,75,25,1,60,100,25
382,P&Q Engenharia Jr,RioJunior,5,131308,27,50,1,43,50,25
619,Vitalis Consultoria,FEJEA,1,4120,81,8,2,90,2,2
614,Setup Jr - Consultoria e Desenvolvimento,FEJEPAR,1,9000,70,8,2,50,26,4
1121,ZOOT Jr.,FEJESP,1,4500,60,15,1,57,1,1
601,Oikos Consultoria - Empresa Júnior,Goiás Júnior,1,2500,27,6,1,50,25,2
867,Union,RioJunior,2,20000,90,15,2,50,15,4
569,Sage - Empresa Júnior de Relações Internacionais,FEJESP,1,9857,75,9,1,33,1,1
632,ECONCI Engenharia JR,FEJERO,1,10000,100,13,2,100,21,5
687,JEF - CONSULTORIA TECNOLÓGICA,FEJEMS,1,1000,30,3,1,50,50,2
310,Elo Consultoria,FEJEPAR,1,6000,37,18,2,50,90,17
1019,MORPHEUS.JR,Juniores,1,4000,60,4,5,50,50,2
